iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
MAC,Asia,Macao,2021-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,607741.0,329375.0,280322.0,,,1341.0,92.31,50.03,42.58,,2037.0,,658391.0,20546.766,39.2,9.798,4.991,104861.851,,,,,,,,84.24,,
MYS,Asia,Malaysia,2021-09-06,1862187.0,17352.0,19547.143,18491.0,272.0,301.286,56815.228,529.409,596.382,564.159,8.299,9.192,0.98,,,,,,,,,,,,,,,,,,36745313.0,20679998.0,16107712.0,,313751.0,322106.0,112.11,63.09,49.14,,9827.0,,32776195.0,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,
MDV,Asia,Maldives,2021-09-06,82099.0,120.0,162.714,227.0,1.0,0.143,151022.773,220.742,299.316,417.571,1.84,0.263,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543620.0,1454.433,30.6,4.12,2.875,15183.616,,164.905,9.19,2.1,55.0,95.803,,78.92,0.74,
MNG,Asia,Mongolia,2021-09-06,236079.0,0.0,3179.857,968.0,0.0,4.429,70909.884,0.0,955.118,290.753,0.0,1.33,1.27,,,,,,,,,,,,,,,,,,4349057.0,2243338.0,2105719.0,,2507.0,3026.0,130.63,67.38,63.25,,909.0,53.7,3329282.0,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737,
MMR,Asia,Myanmar,2021-09-06,417971.0,2555.0,3155.429,15985.0,94.0,99.714,7626.371,46.619,57.574,291.665,1.715,1.819,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54806014.0,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583,
NPL,Asia,Nepal,2021-09-06,770759.0,1488.0,1376.429,10858.0,20.0,18.286,25973.415,50.143,46.384,365.898,0.674,0.616,0.83,,,,,,,,,,,,,,,,,,10536178.0,5573419.0,4962759.0,,107232.0,117470.0,35.51,18.78,16.72,,3959.0,52.31,29674920.0,204.43,25.0,5.809,3.212,2442.804,15.0,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,
OMN,Asia,Oman,2021-09-06,302748.0,80.0,72.714,4078.0,3.0,2.143,57960.216,15.316,13.921,780.721,0.574,0.41,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.81,5223376.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813,
PAK,Asia,Pakistan,2021-09-06,1186234.0,3316.0,3730.714,26330.0,98.0,77.429,5267.471,14.725,16.566,116.918,0.435,0.344,1.02,,,,,,,,,,,,,,,,,,63319214.0,48106755.0,20058377.0,,1594634.0,1182525.0,28.12,21.36,8.91,,5251.0,62.96,225199929.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,
PSE,Asia,Palestine,2021-09-06,356474.0,2742.0,2379.714,3744.0,17.0,9.857,68254.002,525.01,455.643,716.863,3.255,1.887,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5222756.0,778.202,20.4,3.043,1.726,4449.898,1.0,265.91,10.59,,,,,74.05,0.708,
PHL,Asia,Philippines,2021-09-06,2103331.0,22347.0,18161.286,34337.0,103.0,143.857,18940.923,201.239,163.546,309.212,0.928,1.295,1.12,,,,,,,,,,,,,,,,,,35995813.0,,15121776.0,,156849.0,370424.0,32.41,,13.62,,3336.0,74.54,111046910.0,351.873,25.2,4.803,2.661,7599.188,,370.437,7.07,7.8,40.8,78.463,1.0,71.23,0.718,
QAT,Asia,Qatar,2021-09-06,233756.0,189.0,169.286,603.0,1.0,0.143,79765.939,64.494,57.766,205.765,0.341,0.049,0.87,,,,,,,,,,,,,,,,,,4535813.0,2344353.0,2191460.0,,,14564.0,154.78,80.0,74.78,,4970.0,,2930524.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,
SAU,Asia,Saudi Arabia,2021-09-06,545243.0,0.0,275.0,8579.0,0.0,9.571,15428.198,0.0,7.781,242.751,0.0,0.271,0.3,,,,,,,,,,,,,,,,,,38265272.0,22490656.0,15774616.0,,196122.0,203991.0,108.28,63.64,44.64,,5772.0,,35340680.0,15.322,31.9,3.295,1.845,49045.411,,259.538,17.72,1.8,25.4,,2.7,75.13,0.854,
SGP,Asia,Singapore,2021-09-06,68901.0,241.0,206.0,55.0,0.0,0.0,11684.703,40.87,34.935,9.327,0.0,0.0,1.44,,,,,,,,,,,,,,,,,,8976698.0,4623190.0,4511788.0,,11606.0,14385.0,152.23,78.4,76.51,,2440.0,47.22,5896684.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,
KOR,Asia,South Korea,2021-09-06,263374.0,1596.0,1707.571,2330.0,3.0,6.429,5133.477,31.108,33.283,45.415,0.058,0.125,1.21,,,,,,,,,,,,,,,,,,47859245.0,30749873.0,18387528.0,,1368397.0,684892.0,93.28,59.94,35.84,,13349.0,47.22,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,
