iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
KHM,Asia,Cambodia,2021-09-06,95828.0,528.0,458.857,1970.0,13.0,11.143,5654.755,31.157,27.077,116.249,0.767,0.658,0.95,,,,,,,,,,,,,,,,,,20059399.0,11291465.0,9001123.0,680353.0,132412.0,163824.0,118.37,66.63,53.12,4.01,9667.0,,16946446.0,90.672,25.6,4.412,2.385,3645.07,,270.892,4.0,2.0,33.7,66.229,0.8,69.82,0.594,
CMR,Africa,Cameroon,2021-09-06,84210.0,0.0,112.143,1357.0,0.0,1.0,3093.197,0.0,4.119,49.845,0.0,0.037,0.18,,,,,,,,,,,,,,,,,,435676.0,355561.0,80115.0,,,1060.0,1.6,1.31,0.29,,39.0,22.22,27224262.0,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563,
CAN,North America,Canada,2021-09-06,1523668.0,1043.0,2787.286,27073.0,1.0,14.429,40024.994,27.398,73.219,711.176,0.026,0.379,0.91,501.0,13.161,1359.0,35.699,,,,,,,,,,,,,,53851096.0,28129799.0,25721297.0,,39787.0,84844.0,141.46,73.89,67.57,,2229.0,75.46,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929,
CPV,Africa,Cape Verde,2021-09-06,36012.0,84.0,104.143,316.0,1.0,0.857,64089.582,149.493,185.34,562.377,1.78,1.525,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561901.0,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,
CYM,North America,Cayman Islands,2021-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102052.0,52158.0,49894.0,,,195.0,153.47,78.44,75.03,,2932.0,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,
CAF,Africa,Central African Republic,2021-09-06,11296.0,0.0,3.714,100.0,0.0,0.143,2295.941,0.0,0.755,20.325,0.0,0.029,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4919987.0,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1.0,53.28,0.397,
TCD,Africa,Chad,2021-09-06,4996.0,0.0,0.714,174.0,0.0,0.0,295.359,0.0,0.042,10.287,0.0,0.0,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16914985.0,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24,0.398,
CHL,South America,Chile,2021-09-06,1641526.0,435.0,456.571,37108.0,18.0,26.429,85441.134,22.642,23.764,1931.465,0.937,1.376,0.8,,,,,,,,,,,,,,,,,,29589680.0,14449896.0,13799306.0,1892564.0,148408.0,107579.0,154.01,75.21,71.83,9.85,5599.0,,19212362.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,
CHN,Asia,China,2021-09-06,95127.0,36.0,26.429,4636.0,0.0,0.0,65.868,0.025,0.018,3.21,0.0,0.0,0.83,,,,,,,,,,,,,,,,,,2113083000.0,1095000000.0,969720000.0,,5638000.0,8159571.0,146.31,75.82,67.15,,5650.0,,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,
COL,South America,Colombia,2021-09-06,4919773.0,1124.0,1787.0,125331.0,53.0,64.0,95965.908,21.925,34.858,2444.727,1.034,1.248,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.39,51265841.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,
