iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
GIN,Africa,Guinea,2021-09-06,29864.0,22.0,66.286,355.0,3.0,2.857,2212.601,1.63,4.911,26.302,0.222,0.212,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13497237.0,51.755,19.0,3.135,1.733,1998.926,35.3,336.717,2.42,,,17.45,0.3,61.6,0.477,
GNB,Africa,Guinea-Bissau,2021-09-06,5902.0,0.0,19.429,121.0,0.0,0.571,2928.32,0.0,9.64,60.035,0.0,0.284,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,
KEN,Africa,Kenya,2021-09-06,240430.0,258.0,733.143,4795.0,9.0,10.714,4372.591,4.692,13.333,87.204,0.164,0.195,0.87,,,,,,,,,,,,,,,,,,2870392.0,2057080.0,813312.0,,7864.0,16875.0,5.22,3.74,1.48,,307.0,,54985702.0,87.324,20.0,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.601,
LSO,Africa,Lesotho,2021-09-06,14395.0,0.0,0.0,403.0,0.0,0.0,6667.232,0.0,0.0,186.655,0.0,0.0,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2159067.0,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33,0.527,
LBR,Africa,Liberia,2021-09-06,5727.0,0.0,19.0,245.0,0.0,0.0,1105.554,0.0,3.668,47.295,0.0,0.0,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.89,5180208.0,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48,
LBY,Africa,Libya,2021-09-06,316797.0,1379.0,1332.286,4343.0,20.0,18.571,45526.373,198.174,191.461,624.125,2.874,2.669,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6958538.0,3.623,29.0,4.424,2.816,17881.509,,341.862,10.43,,,,3.7,72.91,0.724,
MDG,Africa,Madagascar,2021-09-06,42884.0,0.0,3.143,957.0,0.0,0.286,1508.548,0.0,0.111,33.665,0.0,0.01,0.72,,,,,,,,,,,,,,,,,,283091.0,210666.0,86090.0,,,1230.0,1.0,0.74,0.3,,43.0,,28427333.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,
MWI,Africa,Malawi,2021-09-06,60852.0,31.0,66.571,2217.0,7.0,7.0,3097.159,1.578,3.388,112.838,0.356,0.356,0.58,,,,,,,,,,,,,,,,,,911292.0,697824.0,432188.0,,945.0,4736.0,4.64,3.55,2.2,,241.0,39.81,19647681.0,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,
MLI,Africa,Mali,2021-09-06,14942.0,3.0,9.857,542.0,0.0,0.429,716.446,0.144,0.473,25.988,0.0,0.021,1.08,,,,,,,,,,,,,,,,,,344151.0,257674.0,86477.0,,,5339.0,1.65,1.24,0.41,,256.0,,20855724.0,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434,
MRT,Africa,Mauritania,2021-09-06,34297.0,93.0,123.571,737.0,4.0,3.714,7182.452,19.476,25.878,154.342,0.838,0.778,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4775110.0,4.289,20.3,3.138,1.792,3597.633,6.0,232.347,2.42,,,15.95,,64.92,0.546,
MUS,Africa,Mauritius,2021-09-06,11466.0,285.0,181.429,32.0,1.0,0.429,9004.043,223.805,142.473,25.129,0.785,0.337,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1273428.0,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,
